index,score,ident,similarity,sid,sdesc,qstart,qend,qseq,con,tseq,tstart,tend
1,6.740000000000001,0,0,ECOD_001284991_e4o65A1,"ECOD_001284991_e4o65A1 | 11.1.1.338 | 4O65 A:36-194 | A: beta sandwiches, X: Immunoglobulin-like beta-sandwich, H: Immunoglobulin-related, T: Immunoglobulin/Fibronectin type III/E set domains/PapD-like, F: Monooxygenase_B_1st | Protein: Putative archaeal ammonia monooxygenase subunit B",212,242,,,,113,145
2,6.48,0,0,ECOD_002440833_e6cpdA1,"ECOD_002440833_e6cpdA1 | 11.1.1.2717 | 6CPD A:38-163 | A: beta sandwiches, X: Immunoglobulin-like beta-sandwich, H: Immunoglobulin-related, T: Immunoglobulin/Fibronectin type III/E set domains/PapD-like, F: UNK_F_TYPE | Protein: PmoD",191,228,,,,75,112
3,6.360000000000001,0,0,ECOD_000001773_e1l0qA1,"ECOD_000001773_e1l0qA1 | 11.1.1.1503 | 1L0Q A:302-391 | A: beta sandwiches, X: Immunoglobulin-like beta-sandwich, H: Immunoglobulin-related, T: Immunoglobulin/Fibronectin type III/E set domains/PapD-like, F: PKD | Protein: Surface layer protein",209,242,,,,50,83
4,6.360000000000001,0,0,ECOD_001393631_e2kzwA3,"ECOD_001393631_e2kzwA3 | 11.1.1.1503 | 2KZW A:47-145 | A: beta sandwiches, X: Immunoglobulin-like beta-sandwich, H: Immunoglobulin-related, T: Immunoglobulin/Fibronectin type III/E set domains/PapD-like, F: PKD | Protein: Uncharacterized protein",209,239,,,,60,90
5,6.330000000000001,0,0,ECOD_002623898_e6tn6A2,"ECOD_002623898_e6tn6A2 | 11.1.1.2758 | 6TN6 A:400-494 | A: beta sandwiches, X: Immunoglobulin-like beta-sandwich, H: Immunoglobulin-related, T: Immunoglobulin/Fibronectin type III/E set domains/PapD-like, F: UNK_F_TYPE | Protein: Mannan endo-1,4-beta-mannosidase. Glycosyl Hydrolase family 5",191,241,,,,43,93
6,6.149999999999999,0,0,ECOD_001765876_e3vmnA3,"ECOD_001765876_e3vmnA3 | 11.1.1.921 | 3VMN A:102-210 | A: beta sandwiches, X: Immunoglobulin-like beta-sandwich, H: Immunoglobulin-related, T: Immunoglobulin/Fibronectin type III/E set domains/PapD-like, F: Glyco_hydro_66_1st | Protein: Dextranase",31,56,,,,3,26
7,6.0,0,0,ECOD_001072215_e4kh9B2,"ECOD_001072215_e4kh9B2 | 11.1.1.374 | 4KH9 B:178-283 | A: beta sandwiches, X: Immunoglobulin-like beta-sandwich, H: Immunoglobulin-related, T: Immunoglobulin/Fibronectin type III/E set domains/PapD-like, F: DUF4785_2nd | Protein: hypothetical protein",29,55,,,,1,25
8,5.949999999999998,0,0,ECOD_001919941_e2pn5A9,"ECOD_001919941_e2pn5A9 | 11.1.1.77 | 2PN5 A:1-98 | A: beta sandwiches, X: Immunoglobulin-like beta-sandwich, H: Immunoglobulin-related, T: Immunoglobulin/Fibronectin type III/E set domains/PapD-like, F: DUF4469 | Protein: Thioester-containing protein I",140,166,,,,0,24
9,5.88,0,0,ECOD_001949016_e5mkdD1,"ECOD_001949016_e5mkdD1 | 11.1.1.730 | 5MKD D:31-154 | A: beta sandwiches, X: Immunoglobulin-like beta-sandwich, H: Immunoglobulin-related, T: Immunoglobulin/Fibronectin type III/E set domains/PapD-like, F: BslA_like | Protein: Ywea",211,240,,,,89,121
10,5.709999999999997,0,0,ECOD_001166427_e2j42A11,"ECOD_001166427_e2j42A11 | 5095.1.1.1 | 2J42 A:18-164 | A: beta sandwiches, X: NO_X_NAME, H: NO_H_NAME, T: N-terminal beta-sandwich domain in anthrax protective antigen, F: PA14 | Protein: C2 TOXIN COMPONENT-II",204,223,,,,47,66
11,5.670000000000001,0,0,ECOD_001283017_e4jguB1,"ECOD_001283017_e4jguB1 | 11.1.1.1503 | 4JGU B:766-860 | A: beta sandwiches, X: Immunoglobulin-like beta-sandwich, H: Immunoglobulin-related, T: Immunoglobulin/Fibronectin type III/E set domains/PapD-like, F: PKD | Protein: ColH protein",127,163,,,,1,34
